Question,Response
"vrifier lot de contrle cr pour le type de contrle 02, gnr aprs la cration de la livraison.","application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte slection des lots de contrle
entrez les dtails suivants  
1.article 30000018
2. lot cr le  date dexcution du script 
3. division jf01
4. origine lot de ctrle 02
5. cliquez sur excuter 
6. dans le ruban en haut, cliqez sur plus, slectionnez modifier mise en forme, sous colonnes, cliquez sur licne de la loupe pour chercher, sur la nouvelle fentre de slection, dans crit.rech. tapez livraison, et cliquez sur entre, puis sur interrompre, le champ livraison sera affich en haut de colonne et slectionn, cliquer sur le bouton pour lajouter dans les colonnes affiches, cliquer sur entre
7. une fois que vous avez slectionn votre lot dinspection, notez le numro de lot de contrle pour le numro de livraison
8. slectionnez la ligne, et cliquez sur rsultats
9. une nouveau message point de contrle saffiche, choisissez le numro de sample chantillon en cliquant sur le champs, puis en utilisant le bouton en carreaux qui apparat, slectionnez le numro, et cliquez sur suite pour passer ltape suivante 3.. rsultats attendus le lot de contrle 20xxxxxxxxx affich"
enregistrement des rsultats par rapport au lot de contrle,"application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte modifier donnes du lot de contrle rserve de travail lots de contrle
1. entrez dans control 1, et entrez la valeur du rsultat dans la colonne rsultat 
2. slectionnez les caractristiques et cliquez sur le bouton en icne de balance valoriser, un message saffichera pour valorisation manuelle des rsultats saisis, chosissez accepter ou rejeter.
3. une fois la valorisation faite, cliquez sur le cadenas ferm cloturer
5. les caractristiques saisies seront signales par un symbole vert si elles sont acceptes ou par une croix rouge si elles sont rejetes puis sauvegarder. rsultats attendus rsultat enregistr pour le lot inspect 20xxxxxxxxx"
enregistrer la dcision dutilisation par rapport au lot de contrle,"application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte saisir dcision dutilisation liste des caractristiques
1. saisir le lot de contrle 20xxxxxxxxx
2. appuyez sur dcision dutilisation
3. 1. cliquez sur , ct de caractristiques appropries pour d.u. pour afficher les rsultats dinspection 
3. 2. descendez la section de dcision dutilisation 
4. cliquez sur le champs code d.u. et puis sur la touche f4 ou choisissez dans la liste avec des valeurs prdfinies, pour accepter le lot de contrle. 
5. slectionnez et appuyez sur choisir 
6. sauvegarder, lcran suivant est un long texte si des commentaires sur la dcision dutilisation doivent tre ajouts, cliquez sur licne de retour et un message affichera la dcision dutilisation pour le lot 200000xxxxx est enregistre. rsultats attendus dcision dutilisation prise pour le lot de contrle concern numro du lot de contrle"
enregistrer la sortie de marchandises,"application application fiori  modifier livraison sortante. donnes dentre et instructions entte modifier livraison sortante 
1. saisissez le numro de livraison sortante 8000xxxx
2. en haut de lcran, cliquez sur le bouton enreg. sortie march., la sortie de marchandise se fera par cration de document article.. rsultats attendus la sortie de marchandises est enregistre pour la livraison et les critures comptables sont enregistres."
afficher le document gnr aprs sortie de marchandise,"application app fiori afficher synthse des stocks. donnes dentre et instructions entte synthse du stock entrez les dtails suivants 
1. article 30000018
2. division jf01
3. magasin fr01
4. excutez. 
5. les informations associes seront affiches.. rsultats attendus un document contenant des informations saffichera."
aperu du certificat danalyse du lot dinspection,"application application fiori  crer certificat qualit pour lot de contrle. donnes dentre et instructions entte certificat qualit pour lot de contrle entrez les dtails suivants 
1. lot de contrle 20xxxxxxxxx
2. sur donnes de destinataire cliquez sur slctionn. destinataire choisissez numro client,
3. saisissez numro client, puis langue
4. cliquez sur excuter, puis imprimer ou ctrlp
5. sur le nouveau message impression de la liste affiche, choisissez locl pour unit de sortie
6. cliquez sur autre profil. 
7. profil du certificat dap1jf01
8. type de certificat zqmc
9. modle 1
excutez 
10. priphrique de sortie locl
11. aperu avant impression
. rsultats attendus aperu du certificat"
aperu du certificat danalyse ds la livraison,"application application fiori  crer un certificat de qualit pour les livraisons. donnes dentre et instructions entte certificats de qualit pour les livraisons 
1. type de sortie locl
2. ordre de tri 01
3. mode de traitement 1premier traitement 
4. entrez la livraison sortante80000027
5. excutez. 
6. slectionnez la ligne et cliquez sur le bouton aperu avant impression
. rsultats attendus aperu du certificat"
crer une livraison en rfrence bon de commande,"application application fiori  modifier livraison sortante. donnes dentre et instructions entte modifier livraison sortante
1.sur lcran initial, saisissez livraison sortante 8000xxxx,et appuyez sur suite
2. dans lcran suivant, allez au tableau tous les postes, larticle et la division dvsn seront affichs, entrez le numro de lot du stock livrer dans la colonne lot, entrez la mme quantit dans les colonnes prleve et livr, utilisez le magasin mag. o le stock livrer est disponible fr01, 
3. allez longlet donnes mouvement de stock et entrez date relle de sortie des marchandisesmvt. stock rel, puis appuyez sur entre puis sauvegarder. le message affichera livraison 8000xxxx sauvegard. rsultats attendus livraison modifie avec succs"
"vrifier lot de contrle cr pour le type de contrle 02, gnr aprs la cration de la livraison.","application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte slection des lots de contrle
entrez les dtails suivants  
1.article 30000018
2. lot cr le  date dexcution du script 
3. division jf01
4. origine lot de ctrle 02
5. cliquez sur excuter 
6. dans le ruban en haut, cliqez sur plus, slectionnez modifier mise en forme, sous colonnes, cliquez sur licne de la loupe pour chercher, sur la nouvelle fentre de slection, dans crit.rech. tapez livraison, et cliquez sur entre, puis sur interrompre, le champ livraison sera affich en haut de colonne et slectionn, cliquer sur le bouton pour lajouter dans les colonnes affiches, cliquer sur entre
7. une fois que vous avez slectionn votre lot dinspection, notez le numro de lot de contrle pour le numro de livraison
8. slectionnez la ligne, et cliquez sur rsultats
9. une nouveau message point de contrle saffiche, choisissez le numro de sample chantillon en cliquant sur le champs, puis en utilisant le bouton en carreaux qui apparat, slectionnez le numro, et cliquez sur suite pour passer ltape suivante 3.. rsultats attendus le lot de contrle 20xxxxxxxxx affich"
enregistrement des rsultats par rapport au lot de contrle,"application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte modifier donnes du lot de contrle rserve de travail lots de contrle
1. entrez dans control 1, et entrez la valeur du rsultat dans la colonne rsultat 
2. slectionnez les caractristiques et cliquez sur le bouton en icne de balance valoriser, un message saffichera pour valorisation manuelle des rsultats saisis, chosissez accepter ou rejeter.
3. une fois la valorisation faite, cliquez sur le cadenas ferm cloturer
5. les caractristiques saisies seront signales par un symbole vert si elles sont acceptes ou par une croix rouge si elles sont rejetes puis sauvegarder. rsultats attendus rsultat enregistr pour le lot inspect 20xxxxxxxxx"
enregistrer la dcision dutilisation par rapport au lot de contrle,"application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte saisir dcision dutilisation liste des caractristiques
1. saisir le lot de contrle 20xxxxxxxxx
2. appuyez sur dcision dutilisation
3. 1. cliquez sur , ct de caractristiques appropries pour d.u. pour afficher les rsultats dinspection 
3. 2. descendez la section de dcision dutilisation 
4. cliquez sur le champs code d.u. et puis sur la touche f4 ou choisissez dans la liste avec des valeurs prdfinies, pour accepter le lot de contrle. 
5. slectionnez et appuyez sur choisir 
6. sauvegarder, lcran suivant est un long texte si des commentaires sur la dcision dutilisation doivent tre ajouts, cliquez sur licne de retour et un message affichera la dcision dutilisation pour le lot 200000xxxxx est enregistre. rsultats attendus dcision dutilisation prise pour le lot de contrle concern numro du lot de contrle"
enregistrer la sortie de marchandises,"application application fiori  modifier livraison sortante. donnes dentre et instructions entte modifier livraison sortante 
1. saisissez le numro de livraison sortante 8000xxxx
2. en haut de lcran, cliquez sur le bouton enreg. sortie march., la sortie de marchandise se fera par cration de document article.. rsultats attendus la sortie de marchandises est enregistre pour la livraison et les critures comptables sont enregistres."
afficher le document gnr aprs sortie de marchandise,"application app fiori afficher synthse des stocks. donnes dentre et instructions entte synthse du stock entrez les dtails suivants 
1. article 30000018
2. division jf01
3. magasin fr01
4. excutez. 
5. les informations associes seront affiches.. rsultats attendus un document contenant des informations saffichera."
aperu du certificat danalyse du lot dinspection,"application application fiori  crer certificat qualit pour lot de contrle. donnes dentre et instructions entte certificat qualit pour lot de contrle entrez les dtails suivants 
1. lot de contrle 20xxxxxxxxx
2. sur donnes de destinataire cliquez sur slctionn. destinataire choisissez numro client,
3. saisissez numro client, puis langue
4. cliquez sur excuter, puis imprimer ou ctrlp
5. sur le nouveau message impression de la liste affiche, choisissez locl pour unit de sortie
6. cliquez sur autre profil. 
7. profil du certificat dap1jf01
8. type de certificat zqmc
9. modle 1
excutez 
10. priphrique de sortie locl
11. aperu avant impression
. rsultats attendus aperu du certificat"
aperu du certificat danalyse ds la livraison,"application application fiori  crer un certificat de qualit pour les livraisons. donnes dentre et instructions entte certificats de qualit pour les livraisons 
1. type de sortie locl
2. ordre de tri 01
3. mode de traitement 1premier traitement 
4. entrez la livraison sortante80000027
5. excutez. 
6. slectionnez la ligne et cliquez sur le bouton aperu avant impression
. rsultats attendus aperu du certificat"
affichage tat de stock,"application application fiori  afficher synthse des stocks. donnes dentre et instructions entte synthse du stock  socit division magasin lot 
1. article 30000029
2. division sf02
3. cliquez sur excuter. 
4. notez un magasin, et lot avec quantit disponible utilisation libre utiliser pour la livraison. rsultats attendus affichage du stock"
crer une livraison en rfrence une commande client,"application application fiori  modifier livraison sortante. donnes dentre et instructions entte modifier livraison sortante
1.sur lcran initial, saisissez livraison sortante 8000xxxx,et appuyez sur suite
2. dans lcran suivant, allez au tableau tous les postes, larticle et la division dvsn seront affichs.
en cas de fractionnement de lots 3.1. slctionnez la ligne du poste que vous dsirez fractionner en diffrents lots et cliquez sur le bouton en dessous fractionn. lot, un nouveau tableau saffiche o vous ajoutez les numros des lots mlanger, avec le magasin, qt.cliquez aprs sur le bouton de retour.
en cas de livraison dun seul lot depuis le magasin 3.1 ajoutez le numro du lot et magasin nots sur la mme ligne de larticle expdier.
4. allez longlet donnes mouvement de stock et entrez date relle de sortie des marchandisesmvt. stock rel, puis appuyez sur entre puis sauvegarder. le message affichera livraison 8000xxxx sauvegard. rsultats attendus livraison modifie avec succs"
"vrifier lot de contrle cr pour le type de contrle 02, gnr suite la cration de la livraison.","application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte slection des lots de contrle
entrez les dtails suivants  
1.article 30000029
2. lot cr le  date dexcution du script 
3. division sf02
4. origine lot de ctrle 02
5. cliquez sur excuter 
6. dans le ruban en haut, cliqez sur plus, slectionnez modifier mise en forme, sous colonnes, cliquez sur licne de la loupe pour chercher, sur la nouvelle fentre de slection, dans crit.rech. tapez livraison, et cliquez sur entre, puis sur interrompre, le champ livraison sera affich en haut de colonne et slectionn, cliquer sur le bouton pour lajouter dans les colonnes affiches, cliquer sur entre
7. une fois que vous avez slectionn votre lot dinspection, notez le numro de lot de contrle pour le numro de livraison
8. slectionnez la ligne, et cliquez sur rsultats
9. une nouveau message point de contrle saffiche, choisissez le numro de sample chantillon en cliquant sur le champs, puis en utilisant le bouton en carreaux qui apparat, slectionnez le numro, et cliquez sur suite pour passer ltape suivante 3.. rsultats attendus le lot de contrle 20xxxxxxxxx affich"
enregistrement des rsultats par rapport au lot de contrle,"application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte modifier donnes du lot de contrle rserve de travail lots de contrle
1. entrez dans control 1, et entrez la valeur du rsultat dans la colonne rsultat 
2. slectionnez les caractristiques et cliquez sur le bouton en icne de balance valoriser, un message saffichera pour valorisation manuelle des rsultats saisis, chosissez accepter ou rejeter.
3. une fois la valorisation faite, cliquez sur le cadenas ferm cloturer
5. les caractristiques saisies seront signales par un symbole vert si elles sont acceptes ou par une croix rouge si elles sont rejetes puis sauvegarder. rsultats attendus rsultat enregistr pour le lot inspect 20xxxxxxxxx"
enregistrer la dcision dutilisation par rapport au lot de contrle,"application app fiori traiter les lots de contrle rserve de travail. donnes dentre et instructions entte saisir dcision dutilisation liste des caractristiques
1. saisir le lot de contrle 20xxxxxxxxx
2. appuyez sur dcision dutilisation
3. 1. cliquez sur , ct de caractristiques appropries pour d.u. pour afficher les rsultats dinspection 
3. 2. descendez la section de dcision dutilisation 
4. cliquez sur le champs code d.u. et puis sur la touche f4 ou choisissez dans la liste avec des valeurs prdfinies, pour accepter le lot de contrle. 
5. slectionnez et appuyez sur choisir 
6. sur le ruban en haut de la page, cliquez sur services objet crer... crer pice jointe, un message affiche chargement dun fichier , cliquez ok, et choisissez le fichier ou coa attacher sur votre dossier.un message affiche la pice jointe a t cre correctement. pour lafficher, vous cliquez sur services objet liste des pices jointes
7. sauvegarder, lcran suivant est un long texte si des commentaires sur la dcision dutilisation doivent tre ajouts, cliquez sur licne de retour et un message affichera la dcision dutilisation pour le lot 200000xxxxx est enregistre. rsultats attendus dcision dutilisation prise pour le lot de contrle de livraison sortante numro de lot de contrle"
enregistrer la sortie de marchandises,"application application fiori  modifier livraison sortante. donnes dentre et instructions entte modifier livraison sortante 
1. saisissez le numro de livraison sortante 8000xxxx
2. en haut de lcran, cliquez sur le bouton enreg. sortie march., la sortie de marchandise se fera par cration de document article.. rsultats attendus la sortie de marchandises est enregistre pour la livraison et les critures comptables sont enregistres."
aperu du certificat danalyse du lot dinspection,"application application fiori  crer certificat qualit pour lot de contrle. donnes dentre et instructions entte certificat de qualit pour le lot de contrle entrez les dtails suivants 
1. lot de contrle20xxxxxxxxx
2. cliquez sur le bouton choisissez le destinataire 
3. destinataire choisissez numro de client, cliquez sur continuer
4. entrez le numro de client 1000000075
5. langue 
6. cliquez sur autre profil. 
7. profil du certificat  flux1sf02
8. type de certificat zqmc
9. modle 1
excutez 
10. priphrique de sortie locl
11. aperu avant impression
. rsultats attendus aperu du certificat"
nan,application nan. donnes dentre et instructions nan. rsultats attendus nan
lot manuel cr avec inspection z8901 pour les retours clients,"application application fiori  crer lot de contrle. donnes dentre et instructions entte crer manuellement lot de contrle cran initial 
1. dans lcran initial, entrez article 30000029
divisionsf02
origine lot de ctrle 89
dans la fentre contextuelle du type dinspection possible, slectionnez z8901 contrle danalyse des rsltats client
2. appuyez sur le bouton vert 
3. entrez la quantit du lot de contrle 
4. enregistrez 
5. notez le numro du lot de contrle pour les tapes suivantes. rsultats attendus origine du lot de contrle 89 cr"
enregistrement des rsultats effectu avec les valeurs reues du client.,"application app fiori saisie des rsultats de contrle rserve de travail hirarchique. donnes dentre et instructions entte de lcran rserve de travail saisie rsultats 
1 vrifiez quaucune donne nest saisie sur les ongles articles et chantillon puis allez la section numro lot de contrle, saisissez le lot de contrle 89000000xxx
excuter
2 cliquez sur le nud du lot de contrle sur le ct gauche. cliquez sur le nud dopration 0010
doublecliquez sur le nud de lchantillonsample.
les caractristiques dinspection peuvent tre vues sur le ct droit pour lenregistrement des rsultats si la caractristique est verrouille cellule en gris, vous pouvez slectionnez la ou les lignes des caractristiques grises et cliquer sur licne du cadenas ouvert en cours 
3 tapez sur la colonne contrl 1, entrez les valeurs de rsultat partages par le client 
4 dans la troisime colonne partir de la gauche, il y a une case cocher pour caractristique rejete, cochezla pour la ligne correspondante et cochez la deuxime pour accepter.
5 slectionnez les caractristiques de la premire colonne et cliquez sur licne cadenas fermer clturer, un message affiche ferm avec succs 
. rsultats attendus rsultat enregistr"
enregistrer la dcision dutilisation par rapport au lot de contrle,"application application fiori  saisir dcision dutilisation. donnes dentre et instructions entte saisir dcision dutilisation  cran initial 
1. entrez le lot de contrle 89xxxxxxxxx 
2. appuyez sur suite 
3. pour ajouter un coa en pice jointe sur le ruban en haut de la page, cliquez sur services objet crer... crer pice jointe, un message affiche chargement dun fichier , cliquez ok, et choisissez le fichier ou coa attacher sur votre dossier.un message affiche la pice jointe a t cre correctement. pour lafficher, vous cliquez sur services objet liste des pices jointes
4. sur le ruban en haut de la fentre cliquez sur dfauts, choisissez un type de catalogue 00000070
5. sur grpe code, choisissez un dfaut qui correspond au produit fini trait, et a010 pour classe majeure.
6. cliquez sur entre, ceci cre une notification en arrire plan que vous traitez dans ltape suivante
7. descendez la section de dcision dutilisation 
8.1. si vous refusez les rsultats du clien dans le champ code ud, cliquez sur f4 ou choisissez dans la liste avec des valeurs prdfinies, pour le code rcur rejeter coa client inspection tiers, 
8.2. si vous acceptez les rsultats du client dans le champ code ud, cliquez sur f4 ou choisissez dans la liste avec des valeurs prdfinies, pour le code acur accepter les rsultats du coa du client,
9. slectionner 
10. enregistrer, lcran suivant est un long texte si des commentaires sur la dcision dutilisation doivent tre ajouts, cliquez sur licne de retour et un message affichera la dcision dutilisation pour le lot 890000xxxxx est enregistre. rsultats attendus dcision dutilisation prise pour le lot de contrle concern numro du lot de contrle"
crer un avis qualit en cas de rclamation client avec rfrence la livraison et au lot de contrle 02.,"application application fiori  modifier avis qm. donnes dentre et instructions entte  modifier avis  cran initial 
1. pour slectionner la notification cre, cliquez sur le champs notification puis f4, ou les carreaux qui apparaissent cot
2. slectionnez p lot de contrle, pour chercher la base du lot de contrle trait. entrez le numro du lot de contrle 89xxxxxxxxx puis cliquez sur rechercher.
4. appuyez sur continuer
5. allez longlet sujet, slectionnez un codage dans la liste droulante 
6. allez postes , crer un dfaut en slectionnant groupe de codes et code dfaut pour la rclamation, rpter pour localisation dans le mme tableau si un point prcis est li au dfaut et ajoutez une description.
7. slectionnez la ligne de dfaut et cliquez sur longlet causes, dans le taleau causes par poste, slectionnez un groupe de codes cause dans la liste droulante, puis code cause partir de valeurs prdfinies. ajoutez le texte cause. 
8. allez longlet actions pour postes . slectionner un des groupe de codes interventions de la liste droulante aacr et code 0040. ajoutez du texte pour decription demande darbitrage de labo externe dans le cas de refus des rsultas du client par exemple, et dates de dbut et de fin.
9. slectionnez la ligne de laction et cliquez sur licone en bas dfinir status, et choisissez action corrective. 
10. slectionnez la ligne de laction et cliquez sur licone du drapeau vert en bas pour la lancer.
11. slectionnez la ligne de dfaut et cliquez sur longlet objet affect
12. slectionnez la catgorie dobjet lot controle, appuyez sur entre et entrez le numro de lot de contrle cr avec la sortie de marchandise dorigine 02 dans ltape 3.
13.en bas de lcran cliquez sur avis en cours, et puis sauvegarder
14. ajoutez le nom du partenaire identifiant sap, vous pouvez le chercher en tapant le nom de famille et le systme propose les noms existants.et enregistrer
15. le message affiche avis sauvegard. notez le numro de notification pour les prochaines tapes. rsultats attendus type de notification z1 cr"
nan,application nan. donnes dentre et instructions nan. rsultats attendus nan
lot manuel cr avec inspection z8901 pour les retours clients,"application application fiori  crer un lot de contrle. donnes dentre et instructions entte crer manuellement lot de contrle cran initial 
1. dans lcran initial, entrez article 30000029
divisionsf02
origine lot de ctrle 89
dans la fentre contextuelle du type dinspection possible, slectionnez z8902 contrle danalyse en labo indpendant
2. appuyez sur le bouton vert 
3. entrez la quantit du lot de contrle 
4. enregistrez 
5. notez le numro du lot de contrle pour les tapes suivantes. rsultats attendus origine du lot de contrle 89 cr"
examiner les actions,"application application fiori  modifier avis qm. donnes dentre et instructions entte  modifier avis  cran initial 
1. pour slectionner la notification cre, cliquez sur le champs notification puis f4, ou les carreaux qui apparaissent cot
2. slectionnez p lot de contrle, pour chercher la base du lot de contrle cr prcdemment z8901. entrez le numro du lot de contrle 89xxxxxxxxx puis cliquez sur rechercher.
3. appuyez sur continuer
4. allez postes, slectionnez la ligne de dfaut et cliquez sur longlet objet affect
5. slectionnez la catgorie dobjet lot controle, appuyez sur entre et entrez le numro de lot de contrle cr z8902.. rsultats attendus notification modifie 200xxxx"
enregistrement des rsultats effectu avec les valeurs reues du client.,"application app fiori saisie des rsultats de contrle rserve de travail hirarchique. donnes dentre et instructions entte de lcran rserve de travail saisie rsultats 
1 vrifiez quaucune donne nest saisie sur les ongles articles et chantillon puis allez la section numro lot de contrle, saisissez le lot de contrle 89000000xxx
excuter
2 cliquez sur le nud du lot de contrle sur le ct gauche. cliquez sur le nud dopration 0010
doublecliquez sur le nud de lchantillonsample.
les caractristiques dinspection peuvent tre vues sur le ct droit pour lenregistrement des rsultats si la caractristique est verrouille cellule en gris, vous pouvez slectionnez la ou les lignes des caractristiques grises et cliquer sur licne du cadenas ouvert en cours 
3 tapez sur la colonne contrl 1, entrez les valeurs de rsultat partages par le client 
4 dans la troisime colonne partir de la gauche, il y a une case cocher pour caractristique rejete, cochezla pour la ligne correspondante et cochez la deuxime pour accepter.
5 slectionnez les caractristiques de la premire colonne et cliquez sur licne cadenas fermer clturer, un message affiche ferm avec succs 
. rsultats attendus rsultat enregistr"
enregistrer la dcision dutilisation par rapport au lot de contrle,"application application fiori  saisir dcision dutilisation. donnes dentre et instructions entte saisir dcision dutilisation  cran initial 
1. entrez le lot de contrle 89xxxxxxxxx 
2. appuyez sur suite 
3. sur le ruban en haut de la page, cliquez sur services objet crer... crer pice jointe, un message affiche chargement dun fichier , cliquez ok, et choisissez le fichier attacher sur votre dossier.un message affiche la pice jointe a t cre correctement. pour lafficher, vous cliquez sur services objet liste des pices jointes
3. descendez la section de dcision dutilisation 
4. dans le champ code ud, cliquez sur f4 ou choisissez dans la liste avec des valeurs prdfinies, pour le code a3pr accpeter les rsultats du coa indp.
5. slectionner
6. enregistrer, lcran suivant est un long texte si des commentaires sur la dcision dutilisation doivent tre ajouts, cliquez sur licne de retour et un message affichera la dcision dutilisation pour le lot 890000xxxxx est enregistre. rsultats attendus dcision dutilisation prise pour le lot de contrle concern numro du lot de contrle"
imprimer coa 2,"application application fiori  afficher lot de contle. donnes dentre et instructions 1.allez afficher le lot de contrle dans fiori
 2.entrez le numro du lot de contrle 890000000xxx puis appuyez sur continuer 
3.en haut de lcran, accdez plus traitement de linspectioncration de certificatspour le lot dinspection 
4.cliquez sur choisir le destinataire. destinatairechoisir le numro de client
saisir le numro de client 1000000075
langue fr 
5.cliquez sur autre profil. profil de certificat flux1sf02
type de certificatzqmc
version1
6.excuter priphrique de sortie locl
7.cliquez sur aperu avant impression. rsultats attendus aperu du certificat"
fermer la notification de qualit cre contre les rclamations des clients.,"application application fiori  modifier avis qm. donnes dentre et instructions entte  modifier avis  cran initial 
1. saisissez le numro de notification 200000xxx, suite
2. allez longlet actions pour postes . slectionnez la ligne de laction lance, et cliquez en bas sur le drapeau bleu pour la clturer.
3. cliquez sur complter en bas de lcran, un message saffiche, choisissez origine externe. et puis suite
4. un message en bas affiche avis cltur. rsultats attendus avis termin"
afficher stock,"application fiori app stock artcilces multiples. donnes dentre et instructions entrez les informations du champ cidessous 
division jf06
magasin h006
article 30000011
rpter pour la combinaison suivante 
division jf06
magasin h18a
articlel 30000013

division jf06
magasin h18c
article 30000018

division jf06
magasin h001
article 30000093
cliquer sur lancer. rsultats attendus stock de division afficher proprement"
